店名,評価,レビュー数,ブックマーク数,代表味分類,住所,市町村,URL
グラバー亭,3.00,2,13,不明,大分県佐伯市駅前1-1-1,佐伯市,https://tabelog.com/oita/A4401/A440105/44001489/
三宝リユウ,3.01,9,82,豚骨,大分県大分市都町1-3-10,大分市,https://tabelog.com/oita/A4401/A440101/44001437/
博多麺王 日田店,3.01,3,12,豚骨,大分県日田市吹上町8-15,日田市,https://tabelog.com/oita/A4404/A440403/44013619/
十五万石,-,-,5,不明,大分県佐伯市鶴望坂山2550-1,佐伯市,https://tabelog.com/oita/A4401/A440105/44001498/
ラーメンなにわっこ,3.03,7,48,豚骨,大分県豊後高田市界327-1,豊後高田市,https://tabelog.com/oita/A4404/A440402/44001509/
居酒屋　三男坊,3.01,3,52,豚骨,大分県佐伯市蒲江大字西野浦356-1,佐伯市,https://tabelog.com/oita/A4401/A440105/44006858/
味千ラーメン くす店,3.00,7,36,不明,大分県玖珠郡玖珠町大隈243-1,玖珠郡玖珠町,https://tabelog.com/oita/A4404/A440404/44001525/
YOTSUBA,3.06,7,64,豚骨,大分県大分市田中町3-3-54エクセル田中町 1F,大分市,https://tabelog.com/oita/A4401/A440101/44013311/
ごはんどき 大分古国府店,3.00,1,20,不明,大分県大分市大字古国府字上新田1279-1,大分市,https://tabelog.com/oita/A4401/A440101/44007246/
太陽軒,3.06,9,121,豚骨,大分県佐伯市駅前1-6-21,佐伯市,https://tabelog.com/oita/A4401/A440105/44001490/
めん太郎 三光店,-,-,5,不明,大分県中津市三光佐知字栗ヶ島1021-2,中津市,https://tabelog.com/oita/A4404/A440401/44010072/
味平ラーメン　嵐,3.03,7,47,味噌,大分県大分市東浜1-13-3,大分市,https://tabelog.com/oita/A4401/A440101/44004498/
ビーバーム,3.06,8,26,不明,大分県宇佐市安心院町南畑2-1775-1アフリカンサファリ,宇佐市,https://tabelog.com/oita/A4402/A440202/44007149/
